source,title,target_service,domains,leak_types,volume,confidence,collected_at,message_id,message_url
@RansomFeedNews,,"gotec, Germany",,,,medium,2025-12-09,,
@RansomFeedNews,,"David M. Schwarz Architects, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Mintzer Sarowitz Zeris Ledva  AND  Meyers, Germany",,,,medium,2025-12-09,,
@RansomFeedNews,,"Fish  AND  Richardson Overview Metrics, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"AMH Philippines, Philippines",,,,medium,2025-12-09,,
@RansomFeedNews,,"Acoustical Control, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"La Costa Dental Excellence, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Sanko Air Conditioning Co., Ltd., Japan",,,,medium,2025-12-09,,
@RansomFeedNews,,"Marta Montserrat Areny Guerrero ABOGADO, Spain",,,,medium,2025-12-09,,
@RansomFeedNews,,"incolease.com, Egypt",,,,medium,2025-12-09,,
@RansomFeedNews,,"physiciansmedicalbilling.net, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"felixvet.com, Ireland",,,,medium,2025-12-09,,
@RansomFeedNews,,"comune.balmuccia.vc.it, Italy",,,,medium,2025-12-09,,
@RansomFeedNews,,"elundini.gov.za, South Africa",,,,medium,2025-12-09,,
@RansomFeedNews,,"chmsbc.org.br, Brazil",,,,medium,2025-12-09,,
@RansomFeedNews,,"tracsa.com.mx, Mexico",,,,medium,2025-12-09,,
@RansomFeedNews,,"iscot.it, Italy",,,,medium,2025-12-09,,
@RansomFeedNews,,"four-points.marriott.com, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"cadopt.com, India",,,,medium,2025-12-09,,
@RansomFeedNews,,"kap.co.th, Thailand",,,,medium,2025-12-09,,
@RansomFeedNews,,"milanoristorazione.it, Italy",,,,medium,2025-12-09,,
@RansomFeedNews,,"Benchmark Electronics Inc, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"51talk.com, Singapore",,,,medium,2025-12-09,,
@RansomFeedNews,,"aerworldwide.com, USA",,,,medium,2025-12-09,,
@ctifeeds,,ppdb.maalmuttaqinwolowaru.sch.id,ppdb.maalmuttaqinwolowaru.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.psba.ponpesalfaqihsima.com,www.psba.ponpesalfaqihsima.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,lms.disdikbud.kaltimprov.go.id,lms.disdikbud.kaltimprov.go.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,disdukcapil.kaltimprov.go.id,disdukcapil.kaltimprov.go.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdb.misunniyyah1selo.sch.id,ppdb.misunniyyah1selo.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdb.mtsislamiyahmalo.sch.id,ppdb.mtsislamiyahmalo.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.ppdb.mtsalwathoniyyahbugen.sch.id,www.ppdb.mtsalwathoniyyahbugen.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.ppdb.miannashriyahlasem.sch.id,www.ppdb.miannashriyahlasem.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdb.mtsn1labuhanbatu.madaris.id,ppdb.mtsn1labuhanbatu.madaris.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdbma.al-ahliyah.sch.id,ppdbma.al-ahliyah.sch.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ma.nihayatulamal.net,ma.nihayatulamal.net,web_defacement,,medium,2025-12-09,,
@ctifeeds,,albanat.nihayatulamal.net,albanat.nihayatulamal.net,web_defacement,,medium,2025-12-09,,
@ctifeeds,,albanin.nihayatulamal.net,albanin.nihayatulamal.net,web_defacement,,medium,2025-12-09,,
@ctifeeds,,ppdb.elnuya.com,ppdb.elnuya.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,miftahulfalah.ac.id,miftahulfalah.ac.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,bim.go.id,bim.go.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,demo.schoolmantic.id,demo.schoolmantic.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,fitness.kokaerp.in,fitness.kokaerp.in,web_defacement,,medium,2025-12-09,,
@ctifeeds,,displaymasjid.inweb1.my.id,displaymasjid.inweb1.my.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,absensiselfie.inweb1.my.id,absensiselfie.inweb1.my.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,bankmini3.inweb1.my.id,bankmini3.inweb1.my.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,ppdb.mantebingtinggi.madaris.id,ppdb.mantebingtinggi.madaris.id,web_defacement,,medium,2025-12-09,,
@ctifeeds,,restobarmm.ru,restobarmm.ru,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.nwsc.com.zm,www.nwsc.com.zm,web_defacement,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,ansorsumenep.com,ansorsumenep.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,demonforums.net,demonforums.net,,,medium,2025-12-09,,
@ctifeeds,,illuminatiworldofficial.com,illuminatiworldofficial.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,geniusmoney.docopro.com,geniusmoney.docopro.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@ctifeeds,,issuer-center.systemlogic.com.br,issuer-center.systemlogic.com.br,web_defacement,,medium,2025-12-09,,
@ctifeeds,,data.systemlogic.com.br,data.systemlogic.com.br,web_defacement,,medium,2025-12-09,,
@ctifeeds,,systemlogic.com.br,systemlogic.com.br,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.surveybell.com,www.surveybell.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,www.labhmart.com,www.labhmart.com,web_defacement,,medium,2025-12-09,,
@ctifeeds,,sinister.ly,sinister.ly,,,medium,2025-12-09,,
@RansomFeedNews,,"VoiceTeam Call, Dominican Republic",,,,medium,2025-12-09,,
@RansomFeedNews,,"City of La Vergne, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Nickman, DHK Architects, Profondia, Talbot  AND  Associates, Fishbowl Solutions., USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Carbon Graphics Group, Canada",,,,medium,2025-12-09,,
@RansomFeedNews,,"RUEZ, Germany",,,,medium,2025-12-09,,
@RansomFeedNews,,"Nadel Architects, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"AGI Group, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"PH Molds, Canada",,,,medium,2025-12-09,,
@RansomFeedNews,,"www.eliteflower.com, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Comcast, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Capo Brothers, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"HESCO, Canada",,,,medium,2025-12-09,,
@RansomFeedNews,,"Caldwell  AND  Company Accounting, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Big Lar, Brazil",,,,medium,2025-12-09,,
@RansomFeedNews,,"Ernest Käslin, Switzerland",,,,medium,2025-12-09,,
@RansomFeedNews,,"Granjas 4 Irmãos SA - Agropecuária, Indústria e Comércio, Brazil",,,,medium,2025-12-09,,
@RansomFeedNews,,"Jeffrey W Krol  AND  Associates, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Quality Companies, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Galesi Group, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"Gopher Industrial, USA",,,,medium,2025-12-09,,
@RansomFeedNews,,"S**** Saint ******, Non Disponibile",,,,medium,2025-12-09,,
@RansomFeedNews,,"arko.no, Norway",,,,medium,2025-12-09,,
@RansomFeedNews,,"f***i*.o*g, Non Disponibile",,,,medium,2025-12-09,,
@RansomFeedNews,,"hopital-*********.com, Non Disponibile",,,,medium,2025-12-09,,
@RansomFeedNews,,"pharmaciedesalize.com.fr, France",,,,medium,2025-12-09,,
@RansomFeedNews,,"elematec, USA",,,,medium,2025-12-09,,
